"customer_id","rental_id","rental_date","return_date","name","email"
1,1725,"2005-06-16 15:18:57","2005-06-17 21:05:57","Mary Smith","mary.smith@sakilacustomer.org"
1,1476,"2005-06-15 21:08:46","2005-06-25 02:26:46","Mary Smith","mary.smith@sakilacustomer.org"
1,1422,"2005-06-15 18:02:53","2005-06-19 15:54:53","Mary Smith","mary.smith@sakilacustomer.org"
1,1185,"2005-06-15 00:54:12","2005-06-23 02:42:12","Mary Smith","mary.smith@sakilacustomer.org"
1,573,"2005-05-28 10:35:23","2005-06-03 06:32:23","Mary Smith","mary.smith@sakilacustomer.org"
1,76,"2005-05-25 11:30:37","2005-06-03 12:00:37","Mary Smith","mary.smith@sakilacustomer.org"
2,15907,"2005-08-23 17:39:35","2005-08-25 23:23:35","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,15145,"2005-08-22 13:53:04","2005-08-31 15:51:04","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,14743,"2005-08-21 22:41:56","2005-08-29 00:18:56","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,14475,"2005-08-21 13:24:32","2005-08-27 08:59:32","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,12963,"2005-08-19 06:26:04","2005-08-23 11:37:04","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,11614,"2005-08-17 03:52:18","2005-08-20 07:04:18","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,11256,"2005-08-02 13:44:53","2005-08-04 16:39:53","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,11177,"2005-08-02 10:43:48","2005-08-10 10:55:48","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,11087,"2005-08-02 07:41:41","2005-08-10 10:37:41","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,10918,"2005-08-02 02:10:56","2005-08-02 21:23:56","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,10466,"2005-08-01 09:45:26","2005-08-06 06:28:26","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,10136,"2005-07-31 21:58:56","2005-08-03 19:44:56","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,9465,"2005-07-30 22:39:53","2005-08-06 16:43:53","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,9296,"2005-07-30 16:21:13","2005-08-08 11:57:13","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,9248,"2005-07-30 14:14:11","2005-08-05 11:19:11","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,9236,"2005-07-30 13:47:43","2005-08-08 18:52:43","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,9031,"2005-07-30 06:06:10","2005-08-04 10:45:10","Patricia Johnson","patricia.johnson@sakilacustomer.org"
2,8705,"2005-07-29 17:14:29","2005-08-02 16:01:29","Patricia Johnson","patricia.johnson@sakilacustomer.org"
